"","fips","state_fips","lat","lon","population","income","livestock_plant","livestock_plant_0_50km","livestock_plant_50_100km","livestock_plant_100_150km","cattle_plant","hog_plant","chicken_plant","livestock_plant_binary","cattle_plant_binary","hog_plant_binary","chicken_plant_binary","livestock_plant_small","livestock_plant_medium","livestock_plant_large","line_speed_waiver","line_speed_waiver_2020","company","case_rate","case_rate_log","case_rate_ihs","cases","death_rate","death_rate_log","death_rate_ihs","deaths","log_income_pc","density","density_sq","timing_case","old","black","hisp","freight","public_transit","household_size","nursing_census","prison","uninsured","essential_workers","share_manufacturing","manufacturing_establishments","work_google","retail_google","covid_testing","covid_testing_rate","covid_positivity","livestock_sales_1959"
"1",1001,1,32.5322367,-86.6464395,55601,2314018000,0,0,2,5,0,0,0,0,0,0,0,0,0,0,0,0,"No plant",15.5572741497455,2.74452832022557,3.43870683903032,865,0.377691048722145,-0.973678748982885,0.369243195362764,21,10.6362947787373,1.70134434384998,2.89457257635032,0.346153846153846,0.109062786640528,0.202046725778313,0.0296577399687056,0.077359,0.1,2.58839687426,0.0032553371342242,0.0032553371342242,0.071,0.0437622433013061,0.0521646763335462,25,-30.962962962963,-29.9589947089947,90.9875721659682,90.9875721659682,0.170982407590433,2.514676
"2",1003,1,30.6592183,-87.7460666,218022,9940939000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"No plant",9.64122886681161,2.26604857630844,2.96187449372425,2102,0.0733870893763015,-2.61200725288868,0.0733213754678777,16,10.7275760658434,1.57301852642101,2.47438728446374,0.291208791208791,0.138995147278715,0.0931924301217308,0.0464677876544569,0.403565,0.1,2.60859555849508,0.00296300373356817,0.00481602774031978,0.102,0.0118710169484862,0.0299959591342428,171,-27.0548941798942,-38.4054232804233,91.6100210070543,91.6100210070543,0.105242076803685,4.336397
"3",1005,1,31.8702531,-85.4051035,24881,875795000,1,1,6,2,0,0,1,1,0,0,1,0,0,1,0,0,"Other",20.6583336682609,3.02811880546586,3.721851272041,514,0.16076524255456,-1.82781009886942,0.160080666285817,4,10.4687828642778,1.00290840283297,1.00582526447299,0.401098901098901,0.132309794622403,0.491861259595675,0.0427635545195129,0.041898,0.3,2.49096451121271,0.00598850528515735,0.12234234958402,0.112,0.12957323920686,0.14952928482122,26,-22.1971153846154,-29.3762088974855,90.7921707326876,90.7921707326876,0.227534307215582,2.5198
"4",1007,1,33.0158929,-87.1271475,22400,677683000,0,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0,"No plant",12.6339285714286,2.53638593878224,3.23109570989186,283,0.0892857142857143,-2.41591377830105,0.0891675078060297,2,10.3173739471028,1.84406815381465,3.40058735591339,0.379120879120879,0.111964285714286,0.217053571428571,0.02625,0.034684,0.5,2.98771929824561,0.00522321428571429,0.0895982142857143,0.079,0.143591589861751,0.0340203310397339,18,-27.1375661375661,-27.5619658119658,107.8125,107.8125,0.117184265010352,0.595812
"5",1009,1,33.9773575,-86.56644,57840,2022984000,1,3,4,4,0,0,1,1,0,0,1,0,0,1,0,0,"Tyson",9.05947441217151,2.20381110647053,2.89999049183939,524,0.0172890733056708,-4.05768057785051,0.0172882121027657,1,10.4624036292221,1.88976145509326,3.57119835715619,0.351648351648352,0.125622406639004,0.0192254495159059,0.0957123098201936,0.035102,0.1,2.77194174757282,0.00484094052558783,0.00223029045643154,0.11,0.0355597092826013,0.0357175340981441,40,-31.0436507936508,-30.968660968661,68.8278008298755,68.8278008298755,0.131625219794022,5.987961
"6",1011,1,32.1017589,-85.7172613,10138,291939000,1,2,2,5,0,0,1,1,0,0,1,0,0,1,0,0,"Other",39.5541526928388,3.67767068725641,4.37097762182565,401,1.08502663247189,0.081604532748213,0.940237110686027,11,10.2680094152672,1.12082406120108,1.25624657616728,0.357142857142857,0.110475438942592,0.713552969027422,0.0796014993095285,0.016646,0,2.74923801607093,0.0112448214637996,0.150720063128822,0.108,0.318002738676848,0.114904140933551,3,-20.25,-12,141.349378575656,141.349378575656,0.279832519190509,2.104094
"7",1013,1,31.751667,-86.6819689,19680,717336000,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,"No plant",35.3150406504065,3.56430895394068,4.25765653095827,695,1.72764227642276,0.546757632992054,1.31475152520222,34,10.5036967374368,1.25176366001686,1.5669122605388,0.351648351648352,0.139888211382114,0.454725609756098,0.0150914634146341,0.082015,0,2.93723911747168,0.0135670731707317,0.00193089430894309,0.102,0.133046180752505,0.111851349994981,17,-30.7122916666667,-37.236231313926,135.213414634146,135.213414634146,0.261180007515971,2.521678
"8",1015,1,33.7717061,-85.8225133,114277,4241974000,1,1,6,4,0,0,1,1,0,0,1,2,0,1,0,0,"Tyson",7.60432983014955,2.02871779955996,2.72616053704183,869,0.0525040034302616,-2.94686585647738,0.0524799106003594,6,10.5219139591982,1.30709718118569,1.70850304106358,0.313186813186813,0.117941493038844,0.217532836878812,0.0391067318883065,0.293274,0.3,2.48675415806187,0.00403405759689176,0.00410406293479878,0.094,0.0194251626755033,0.101253803064328,104,-28.7296904682087,-38.8335517693316,74.5381835364947,74.5381835364947,0.102019253345856,0
"9",1017,1,32.9155039,-85.3940321,33615,1138173000,0,1,3,4,0,0,0,0,0,0,0,0,0,0,0,0,"No plant",23.0254350736278,3.13659947766873,3.83021787131892,774,0.981704596162427,-0.0184648344545198,0.868377432728857,33,10.429962507283,1.18001598009934,1.3924377132898,0.318681318681319,0.133541573702216,0.40630670831474,0.0256135653726015,0.121974,0.2,2.46478248002368,0.00615796519410977,0.00407556150528038,0.108,0.0439036569558658,0.118745568555923,24,-29.0125661375661,-35.1646825396825,110.81362486985,110.81362486985,0.207785234899329,1.976181
"10",1019,1,34.0695153,-85.6542417,26032,924269000,0,3,5,8,0,0,0,0,0,0,0,0,0,0,0,0,"No plant",6.99139520590043,1.94468013660011,2.64290312584058,182,0.268899815611555,-1.31341640142137,0.265760370027536,7,10.4774318833194,0.990656031593256,0.981399372932098,0.351648351648352,0.158189920098341,0.0471727105101414,0.0162108174554395,0.036481,0.2,2.41174806713181,0.0077980946527351,0.00307314074984634,0.083,0.100062634775452,0.0554503072157565,15,-27.3985042735043,-31.5728511530398,64.3822987092809,64.3822987092809,0.108591885441527,2.396487
"11",1021,1,32.8540514,-86.7266071,44153,1536453000,0,0,3,5,0,0,0,0,0,0,0,0,0,0,0,0,"No plant",11.4827984508414,2.44085012867985,3.13588796650062,507,0.090594070618078,-2.40136651379145,0.0904706041703618,4,10.4573261961725,1.38830580492683,1.92739300799354,0.351648351648352,0.111838380178017,0.107761647000204,0.0792698117908183,0.049679,0,2.59847173303086,0.00319344098928725,0.00387289651892284,0.142,0.0334251676799182,0.0809995489611462,39,-27.505291005291,-32.9656084656085,77.1408511312935,77.1408511312935,0.148854961832061,0
"12",1023,1,31.9909539,-88.2488894,12841,504400000,0,0,4,6,0,0,0,0,0,0,0,0,0,0,0,0,"No plant",18.6901331671988,2.92799574649285,3.62185783395122,240,0.934506658359941,-0.0677365270611367,0.83429648335264,12,10.5784817062238,1.50139783916789,2.254195471458,0.357142857142857,0.16260415855463,0.4206837473717,0.010435324351686,0.008918,0,2.40971962616822,0.00724242660228954,0.00280351997507982,0.114,0.188621516150525,0,7,-27.8505448884276,-20.3279569892473,59.4190483607196,59.4190483607196,0.314547837483617,0.803078
"13",1025,1,31.6855211,-87.8186244,23920,869748000,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,"No plant",16.8060200668896,2.82173715953659,3.51576830370933,402,0.292642140468227,-1.22880478002712,0.288618404423995,7,10.5012438644178,1.5672954194612,2.45641493186405,0.39010989010989,0.142851170568562,0.451003344481605,0.013628762541806,0.083467,0.1,2.56710835648643,0.00647993311036789,0.00418060200668896,0.108,0.101257896692679,0.155062155934823,21,-28.4995836172307,-32.5732711732712,115.677257525084,115.677257525084,0.145283700758945,0.917527
"14",1027,1,33.2703999,-85.8635254,13275,445106000,1,0,3,8,0,0,1,1,0,0,1,0,0,1,0,0,"Other",10.0941619585687,2.31195723282291,3.00754900800698,134,0.150659133709981,-1.89273538656806,0.150094929914344,2,10.4201851679019,2.64241650174616,6.98236496870039,0.351648351648352,0.143050847457627,0.148173258003766,0.0301318267419962,0.007969,0,2.50725744843392,0.0134839924670433,0.00572504708097928,0.102,0.196220753934055,0.229567788347045,10,-28.8528111279481,-29.8821656050955,72.165725047081,72.165725047081,0.139874739039666,2.014265
"15",1029,1,33.6719637,-85.5161261,14987,541914000,0,2,3,9,0,0,0,0,0,0,0,0,0,0,0,0,"No plant",5.33795956495629,1.67484347601102,2.37665122182897,80,0.0667244945619537,-2.70718315866286,0.066675082160419,1,10.4956794375825,1.22421983188173,1.49871419677254,0.351648351648352,0.133916060585841,0.0336291452592247,0.0248215119770468,0.166603,0,2.57928746070555,0.00513778608127043,0.00607192900513779,0.128,0.173805999097523,0.043728340659219,9,-26.8930093776641,-39.3666666666667,45.1057583238807,45.1057583238807,0.118343195266272,3.834216
"16",1031,1,31.402258,-85.9896022,51909,2236962000,2,0,4,2,0,0,2,1,0,0,1,0,0,2,1,0,"JBS",10.8844323720357,2.38733354560382,3.08258430116692,565,0.0770579282975977,-2.56319782442273,0.0769818706628592,4,10.6711370677492,1.56147282351123,2.43819737856412,0.395604395604396,0.116781290335009,0.185362846519871,0.0758057369627618,0.062959,0,2.56137247966042,0.00626095667417982,0.00464274017993026,0.101,0.0504411342389432,0.0703275245623305,40,-23.8390652557319,-30.5992063492063,81.411701246412,81.411701246412,0.13369616658779,2.395031
"17",1033,1,34.703112,-87.8014569,54762,2101658000,0,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0,"No plant",14.5173660567547,2.67534559189154,3.36967688490192,795,0.164347540265147,-1.80577194542658,0.163616549764381,9,10.5552405922304,0.904328682581151,0.817810366138961,0.351648351648352,0.136901501040868,0.167707534421679,0.0267521273876045,0.163547,0.1,2.4798843983669,0.00503999123479785,0.00140608451115737,0.081,0.0285369695303993,0.216496213941564,91,-24.026455026455,-33.5198412698413,101.347649830174,101.347649830174,0.143243243243243,1.555385
"18",1035,1,31.4309257,-86.9887221,12277,400917000,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,"No plant",24.5173902419158,3.19938267155017,3.89294549538564,301,0.733078113545655,-0.310503015862483,0.679554662130934,9,10.3937821091225,1.07267300642014,1.15062737870241,0.39010989010989,0.162173169341044,0.468925633298037,0.0215036246640059,0.046087,0.2,2.72606034105815,0,0.00366539056772827,0.145,0.197286705945173,0.066133389205247,14,-23.1131578947368,-47.9398148148148,95.2187016372078,95.2187016372078,0.25748502994012,1.706946
"19",1037,1,32.9314453,-86.2434818,10715,335679000,0,0,2,9,0,0,0,0,0,0,0,0,0,0,0,0,"No plant",6.99953336444237,1.94584348461077,2.6440547666695,75,0.0933271115258983,-2.37164462892554,0.0931921607210631,1,10.3522659962324,2.1541238957979,4.64024975844752,0.357142857142857,0.158282781147923,0.313859076061596,0.0251983201119925,0.021925,0.5,2.55057275164514,0.00410639290713952,0.00746616892207186,0.078,0.137734151056596,0.0999645494654119,4,-22.5736842105263,NA,57.3028464769015,57.3028464769015,0.12214983713355,1.212054
"20",1039,1,31.2439873,-86.4487206,36986,1318591000,0,2,0,6,0,0,0,0,0,0,0,0,0,0,0,0,"No plant",16.5468014924566,2.80619281984964,3.50025183879457,612,0.459633374790461,-0.777326118606469,0.444818660466963,17,10.4815348375545,1.14325772284718,1.30703822084972,0.362637362637363,0.149083436976153,0.131401070675391,0.0174931054993781,0.059828,0,2.44436300639659,0.00819228897420646,0.00465040826258584,0.112,0.0707929713191289,0.0891064780511925,29,-22.5365217391304,-25.8274074074074,90.4937003190396,90.4937003190396,0.182850313713774,3.065172
"21",1041,1,31.7328256,-86.3192219,13824,506575000,0,2,3,3,0,0,0,0,0,0,0,0,0,0,0,0,"No plant",14.8292824074074,2.69660376707671,3.39088585493156,205,0.217013888888889,-1.52779392339359,0.215345628391096,3,10.5090214546718,1.58087962260374,2.49918038116373,0.357142857142857,0.128978587962963,0.242983217592593,0.0231481481481481,0.021161,0.5,2.72696517412935,0.00954861111111111,0,0.1,0.189406021210164,0.107541825001234,7,-29.7528604118993,-41.337962962963,95.0520833333333,95.0520833333333,0.156012176560122,1.883111
"22",1043,1,34.1319229,-86.8692666,83442,3304856000,0,2,5,4,0,0,0,0,0,0,0,0,1,0,0,0,"No plant",10.2586227559263,2.32811859641721,3.02363289411182,856,0.0838906066489298,-2.47824163066922,0.0837925184089717,7,10.5867516802462,1.21741256459325,1.48209335242951,0.324175824175824,0.126722753529398,0.0159871527528103,0.0443301934277702,0.114146,0.1,2.63953791083632,0.00443421778001486,0.00347546798974138,0.118,0.0275674270750941,0.112455126637893,103,-24.4642857142857,-32.6679894179894,86.7189185302366,86.7189185302366,0.118297401879491,14.643072
"23",1045,1,31.4306536,-85.609476,48956,1792406000,0,3,4,2,0,0,0,0,0,0,0,0,0,0,0,0,"No plant",11.4388430427322,2.4370148482091,3.13206720270487,560,0.0817060217338018,-2.5046275744002,0.0816153839088222,4,10.5081474738355,1.17772817156658,1.38704364610157,0.39010989010989,0.115757006291364,0.219196829806357,0.066386142658714,0.117535,0,2.57054097482592,0.00535174442356402,0.00147070839120843,0.114,0.0805868968300539,0.206516827102788,27,-22.0502645502646,-26.6018518518519,80.9298145273307,80.9298145273307,0.141342756183746,1.492765
"24",1047,1,32.3335397,-87.1143556,38310,1380143000,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,"No plant",31.1929000261028,3.44019050565305,4.13359452534005,1195,0.339336987731663,-1.08076160125102,0.333140566308718,13,10.4919867162407,1.14487109982301,1.31072983520996,0.351648351648352,0.120647350561211,0.709788566953798,0.0111198120595145,0.061611,0,2.41387120470127,0.00589924301748891,0,0.12,0.0839585385774791,0.139647848085307,40,-32.457264957265,-33.7880471380471,148.734012007309,148.734012007309,0.20972270972271,5.113001
"25",1049,1,34.460929,-85.803992,71385,2278326000,1,0,8,7,0,0,1,1,0,0,1,0,0,1,1,0,"Other",19.0095958534706,2.94494389659369,3.63878218212625,1357,0.112068361700637,-2.18864622156135,0.111835093975214,8,10.3708637574986,1.30439008207582,1.70143348621777,0.357142857142857,0.116158856902711,0.0217552707151362,0.148420536527282,0.189767,0.1,2.68789223939997,0.00591160607970862,0.00285774322336625,0.145,0.0214564452155011,0.16556146925418,91,-32.3739448051948,-33.4506944444444,NA,NA,NA,10.830047
"26",1051,1,32.597229,-86.1427347,81887,3461288000,0,1,2,6,0,0,0,0,0,0,0,0,0,0,0,0,"No plant",16.2174704165496,2.78608908193505,3.48018545744379,1328,0.329722666601536,-1.109503382097,0.324022920531075,27,10.6518110839984,1.92847674581589,3.71902255915266,0.285714285714286,0.101200434745442,0.21988838277138,0.0301268821668885,0.105524,0.1,2.63486943691453,0.00398109590044818,0.0613650518397304,0.082,0.0297144173042842,0.0506562874860457,55,-26.8287037037037,-29.994301994302,98.7824685236973,98.7824685236973,0.164173569044381,3.707078
"27",1053,1,31.1222867,-87.1684097,36748,1212524000,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,"No plant",19.1847175356482,2.95411400040305,3.64793973922163,705,0.353760748884293,-1.03913444494768,0.346769083180768,13,10.4041308930031,1.04285543632775,1.08754746107835,0.362637362637363,0.123952323935997,0.324398606726897,0.0246816153260041,0.041523,0,2.56910932380101,0.00323827147055622,0.0830249265266137,0.155,0.0659107676305891,0.118861152439045,39,-26.4953703703704,-32.3134920634921,92.2771307282029,92.2771307282029,0.207903273370687,1.632286
"28",1055,1,34.0476407,-86.0342629,102501,3784122000,1,4,3,7,0,0,1,1,0,0,1,1,0,1,0,0,"Other",14.1462034516736,2.64944628078619,3.34384040798172,1450,0.146340035706969,-1.92182235352622,0.145822684163031,15,10.5164518950205,1.06257168401474,1.12905858366992,0.351648351648352,0.127442659096009,0.161881347499049,0.0401557057979922,0.325026,0.2,2.62008407045414,0.00587311343303968,0.00764870586628423,0.104,0.0262381830421167,0.0840287390311412,89,-26.8703703703704,-38.7989417989418,110.711115013512,110.711115013512,0.12777581952767,3.129855
"29",1057,1,33.7161568,-87.7642923,16433,574598000,0,1,2,4,0,0,0,0,0,0,0,0,0,0,0,0,"No plant",7.72835148785979,2.04489557825944,2.74220240315303,127,0.304265806608653,-1.18985359576505,0.299756542156195,5,10.4621344366399,1.69313760499949,2.86671494946341,0.379120879120879,0.144952230268362,0.126148603419948,0.018073388912554,0.025723,0,2.34014682596804,0.00730237935860768,0.0037728960019473,0.088,0.160256359375841,0.0863421035228107,21,-28.8665513264129,-34.0848484848485,92.3142457250654,92.3142457250654,0.0837178642056691,1.376076
"30",1059,1,34.4419892,-87.8428144,31363,1076308000,1,0,2,4,0,0,1,1,0,0,1,0,0,1,0,0,"JBS",33.2557472180595,3.5042276008287,4.19760075585934,1043,0.510155278512897,-0.673040131932294,0.490276484694325,16,10.4434183699246,0.923108817318325,0.852129888610836,0.340659340659341,0.11653859643529,0.0500908714089851,0.177502152217581,0.070962,0.2,2.79099018733274,0.00478270573605841,0.00280585403182094,0.128,0.0498275523841383,0.236466699123299,40,-29.4332527339835,-33.8837228399718,135.60564996971,135.60564996971,0.245238655067012,4.164454
"31",1061,1,31.0923822,-85.8210224,26314,926048000,0,2,4,2,0,0,0,0,0,0,0,0,0,0,0,0,"No plant",5.77639279471004,1.75377940390263,2.45433625016475,152,0.0380025841757239,-3.27010111694365,0.0379934429160421,1,10.4685802311944,1.54469835014815,2.38609299295043,0.450549450549451,0.139317473588204,0.100288819639736,0.0404347495629703,0.023979,0,2.50424658841492,0.00668845481492742,0.00201413696131337,0.137,0.14992825572745,0.0342001710494488,19,-20.5833333333333,-22.4907407407407,63.3883104051075,63.3883104051075,0.0911270983213429,2.910883
"32",1063,1,32.8444965,-87.9642005,8233,266413000,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,"No plant",27.2075792542208,3.30349558353875,3.99698031580332,224,1.09316166646423,0.0890741090199305,0.945739130050041,9,10.3846525469403,0.969644846210965,0.940211127783485,0.362637362637363,0.145390501639742,0.805295760961982,0.0166403498117333,0.134004,0,2.83011844331641,0.00534434592493623,0,0.114,0.390677956140317,0.109379046818286,8,-28.9232456140351,-35.6975162157886,135.18765941941,135.18765941941,0.20125786163522,2.104775
"33",1065,1,32.7527958,-87.6230608,14726,538747000,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,"No plant",27.6381909547739,3.31919854649607,4.01267284749523,407,1.5618633709086,0.445879576982625,1.22859613104505,23,10.5073867129926,1.70098089975558,2.89333602133331,0.379120879120879,0.129430938476165,0.584340622029064,0.0135814206165965,0.016673,0.1,2.59597030752916,0.0102539725655304,0.0113404862148581,0.088,0.218419911238845,0.0624616007142499,13,-26.6145484949833,-30.8131359851989,171.533342387614,171.533342387614,0.161124307205067,6.331196
"34",1067,1,31.5169779,-85.2399712,17209,694551000,0,4,3,4,0,0,0,0,0,0,0,0,0,0,0,0,"No plant",11.6799349177756,2.4578724052763,3.15284713286749,201,0.232436515776628,-1.45913814166288,0.230392857186802,4,10.6055883698229,0.861484186428037,0.742155003465576,0.401098901098901,0.152245917833692,0.269742576558777,0.0267301993143123,0.480128,0,2.52106762633078,0.00749607763379627,0.00319600209192864,0.114,0.229252839863567,0.0364350494060191,12,-26.0996031746032,-32.7504734500932,89.7786042187228,89.7786042187228,0.130097087378641,1.733967
"35",1069,1,31.1581831,-85.2964111,104722,4440041000,1,2,3,4,0,0,1,1,0,0,1,0,0,1,1,0,"Other",8.98569546036172,2.1956339196176,2.89186307240152,941,0.0954909188136208,-2.34872412697373,0.0953463885157664,10,10.6548649486322,1.32093260524643,1.74486294760313,0.340659340659341,0.121302114168943,0.279253642978553,0.0343862798647849,0.675701,0.1,2.63455022546047,0.00462176047057925,0.00528064781039323,0.104,0.0376731930369179,0.0508709266423441,102,-26.2939191424601,-35.0080906148867,102.318519508795,102.318519508795,0.0878208119458703,3.092282
"36",1071,1,34.764114,-85.9800556,51736,1891824000,0,1,7,6,0,0,0,0,0,0,0,0,0,0,0,0,"No plant",11.3847224369878,2.4322723195073,3.12734277842352,589,0.0773156022885418,-2.5598595030244,0.0772387804813729,4,10.5068981368669,1.05135782414958,1.10535327440053,0.324175824175824,0.137370496366167,0.0408226380083501,0.029534560074223,0.067645,0,2.4936487927858,0.0051221586516159,0.00289933508582032,0.096,0.029605465086372,0.156909416520776,61,-29.4553655248354,-35.4583333333333,119.819854646668,119.819854646668,0.0950153250524278,4.420942
"37",1073,1,33.5534439,-86.8965359,659300,36083710000,0,1,5,5,0,0,0,0,0,0,0,0,0,0,0,0,"No plant",13.9390262399515,2.63469254923048,3.32912394708661,9190,0.288184438040346,-1.24415459395877,0.284337573209612,190,10.9101734088041,1.46335722869395,2.14141437877083,0.285714285714286,0.103979978765357,0.439984832397998,0.0398088882147732,1.870025,0.9,2.46770707179102,0.00539208251175489,0.00456241468223874,0.095,0.038646684323311,0.053811623028785,539,-31.0215837621498,-35.6238117323389,130.737145457303,130.737145457303,0.106618713382447,4.456882
"38",1075,1,33.7870852,-88.0874309,13844,463715000,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,"No plant",10.1849176538573,2.32090796460507,3.01645652302654,141,0.0722334585379948,-2.6278519257731,0.0721707904796552,1,10.4191734925844,1.27805610874197,1.63342741709266,0.324175824175824,0.155301935856689,0.112178561109506,0.0169026292978908,0.009791,0.7,2.30080348175427,0.0104738514880092,0.00375613984397573,0.094,0.19022628962895,0.17048618224556,22,-25.5684615384615,-36.6700133868809,81.3348743137821,81.3348743137821,0.125222024866785,0
"39",1077,1,34.9041221,-87.6509966,92387,3432307000,0,0,2,5,0,0,0,0,0,0,0,0,0,0,0,0,"No plant",8.67005098119865,2.15987467095955,2.85633118603958,801,0.0865922694751426,-2.44654473442897,0.0864844183274335,8,10.522756911695,1.7013675100237,2.89465140416424,0.324175824175824,0.138731639732863,0.105469384220724,0.0286187450615346,0.1545,0,2.34657527132991,0.00524965633693052,0.00155866085055257,0.091,0.0169151669111859,0.0464958408440737,89,-24.1904761904762,-31.8703703703704,94.8726552437031,94.8726552437031,0.0913861950941244,2.692084
