,fips,state_fips,lat,lon,population,income,livestock_plant,livestock_plant_0_50km,livestock_plant_50_100km,livestock_plant_100_150km,cattle_plant,hog_plant,chicken_plant,livestock_plant_binary,cattle_plant_binary,hog_plant_binary,chicken_plant_binary,livestock_plant_small,livestock_plant_medium,livestock_plant_large,line_speed_waiver,line_speed_waiver_2020,company,case_rate,case_rate_log,case_rate_ihs,cases,death_rate,death_rate_log,death_rate_ihs,deaths,log_income_pc,density,density_sq,timing_case,old,black,hisp,freight,public_transit,household_size,nursing_census,prison,uninsured,essential_workers,share_manufacturing,manufacturing_establishments,work_google,retail_google,covid_testing,covid_testing_rate,covid_positivity,livestock_sales_1959
1233,18015,18,40.5849801,-86.5651412,20127,889636000,1,1,0,3,0,1,0,1,0,1,0,0,0,1,0,0,Other,5.962140408,1.785429546,2.485536591,120,0.099369007,-2.308915017,0.099206198,2,10.69650547,1.189936645,1.41594922,0.362637363,0.133850052,0.012172703,0.040940031,0.180538,0.2,2.522208122,0.003179808,0.001937696,0.103,0.110292111,0,21,-28.3620936,-39.47721281,87.34535698,87.34535698,0.068259386,11.842891
1234,18065,18,39.9295911,-85.3973629,48271,1850496000,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,No plant,6.836402809,1.922261688,2.620715601,330,0.372894699,-0.986459208,0.364752668,18,10.5541333,1.520844229,2.312967167,0.362637363,0.13014025,0.032131093,0.019390524,0.386052,0,2.448066058,0.006939985,0.052868182,0.077,0.064973579,0.094546543,51,-26.09960317,-32.75047345,92.0842742,92.0842742,0.07424072,8.70265
1235,18067,18,40.4835368,-86.1141178,82366,3446355000,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No plant,8.365102105,2.124068541,2.820769433,689,0.764878712,-0.268038004,0.70500767,63,10.64165498,1.351879962,1.827579432,0.274725275,0.135395673,0.08898089,0.034553092,0.237095,0.5,2.35186686,0.006361848,0.00416434,0.077,0.029871918,0.353966147,63,-31.36416339,-36.63571289,78.45470218,78.45470218,0.106623336,7.544024
1236,18063,18,39.7689631,-86.5099076,167009,8290500000,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,No plant,9.562358915,2.257834445,2.953704552,1597,0.730499554,-0.314026658,0.677473767,122,10.81257314,1.559313472,2.431458505,0.258241758,0.090941207,0.080354951,0.040267291,0.709023,0.1,2.72499053,0.004957817,0.014633942,0.064,0.014502745,0.035611724,94,-38.14814815,-38.26587302,77.00782593,77.00782593,0.124173859,8.50801
1237,18139,18,39.6223572,-85.4664031,16663,782247000,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,No plant,5.941307088,1.781929158,2.482084589,99,0.180039609,-1.714578404,0.179080886,3,10.75673513,1.307562167,1.709718819,0.351648352,0.127948149,0.015903499,0.017403829,0.099704,0.4,2.453085502,0.007741703,0.002580568,0.121,0.155322742,0.103050571,24,-33.57275132,-45.68055556,76.87691292,76.87691292,0.077283372,11.737178
1238,18145,18,39.5241345,-85.7921742,44593,1955589000,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,No plant,16.706658,2.815807322,3.509848998,745,0.717601417,-0.331840993,0.667026588,32,10.68862509,1.368167339,1.871881867,0.324175824,0.114950777,0.017065459,0.043751261,0.405151,0.1,2.464090268,0.009799744,0.004798959,0.071,0.088471557,0.204418209,79,-31.37603022,-36.11186623,93.31060929,93.31060929,0.179043499,8.624505
1239,18133,18,39.6655479,-86.8533729,37779,1415934000,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,No plant,5.320416104,1.671551515,2.373415731,201,0.211757855,-1.552311851,0.210206376,8,10.53154655,1.698440612,2.884700513,0.335164835,0.113131634,0.043198602,0.020884618,0.28699,0,2.400997098,0.008205617,0.073956431,0.08,0.0644068,0.126266479,28,-31.25753661,-33.80871866,76.04753964,76.04753964,0.069961712,8.884164
1240,18081,18,39.496092,-86.0942641,156225,7550688000,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,No plant,9.575932149,2.259252883,2.955115308,1496,0.806529045,-0.215015369,0.737758468,126,10.78585197,1.678923107,2.8187828,0.274725275,0.09762202,0.028945431,0.036082573,0.642228,0.4,2.673987486,0.006343415,0.003578173,0.072,0.020636337,0.05518027,138,-32.44148759,-38.08139837,84.54472716,84.54472716,0.113264688,7.539309
1241,18109,18,39.4826458,-86.4474573,70116,3097947000,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,No plant,5.433852473,1.692648362,2.394156887,381,0.499172799,-0.694802952,0.480471832,35,10.69609918,2.337428518,5.463572077,0.335164835,0.111130127,0.008100861,0.015887957,0.473397,0.1,2.652703849,0.003693879,0.003237492,0.081,0.034702842,0.057007108,63,-28.36454018,-33.69211442,70.72565463,70.72565463,0.076830006,4.763431
1242,18119,18,39.3173394,-86.8388453,20845,835482000,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,No plant,2.782441833,1.023328899,1.747306972,58,0.047973135,-3.037114111,0.047954753,1,10.59864997,4.686988302,21.96785934,0.318681319,0.125305829,0.008251379,0.014631806,0.163135,0.6,2.380563542,0.005708803,0.002974334,0.114,0.107145941,0.196988086,28,-33.20742754,-32.85185185,84.33677141,84.33677141,0.032992036,2.998876
